id,adjustment_type,highest_finish,is_eligible,points,position,round_id,round_number,season_id,session_id,session_number,team_id,win_count,year
197457,0,,f,0,,76,1,,226,3,34,0,1959
197458,0,,f,0,,76,1,,226,3,58,0,1959
197459,0,,f,0,,76,1,,226,3,57,0,1959
197460,0,1,t,8,1,77,2,,229,3,59,1,1959
197461,0,2,t,6,2,77,2,,229,3,6,0,1959
197462,0,6,f,0,,77,2,,229,3,60,0,1959
197463,0,,f,0,,77,2,,229,3,34,0,1959
197464,0,,f,0,,77,2,,229,3,58,0,1959
197465,0,,f,0,,77,2,,229,3,57,0,1959
197466,0,1,t,14,1,78,3,,232,3,59,1,1959
197467,0,1,t,8,2,78,3,,232,3,34,1,1959
197468,0,2,t,8,3,78,3,,232,3,6,0,1959
197469,0,4,t,3,4,78,3,,232,3,58,0,1959
197470,0,6,f,0,,78,3,,232,3,60,0,1959
197471,0,10,f,0,,78,3,,232,3,57,0,1959
197472,0,,f,0,,78,3,,232,3,64,0,1959
197473,0,1,t,18,1,79,4,,235,3,59,1,1959
197474,0,1,t,16,2,79,4,,235,3,6,1,1959
197475,0,1,t,8,3,79,4,,235,3,34,1,1959
197476,0,4,t,3,4,79,4,,235,3,58,0,1959
197477,0,6,f,0,,79,4,,235,3,60,0,1959
197478,0,8,f,0,,79,4,,235,3,2,0,1959
197479,0,10,f,0,,79,4,,235,3,57,0,1959
197480,0,,f,0,,79,4,,235,3,64,0,1959
197481,0,1,t,26,1,80,5,,238,3,59,2,1959
197482,0,1,t,16,2,80,5,,238,3,6,1,1959
197483,0,1,t,14,3,80,5,,238,3,34,1,1959
197484,0,4,t,3,4,80,5,,238,3,58,0,1959
197485,0,6,f,0,,80,5,,238,3,60,0,1959
197486,0,6,f,0,,80,5,,238,3,64,0,1959
197487,0,8,f,0,,80,5,,238,3,2,0,1959
197488,0,10,f,0,,80,5,,238,3,57,0,1959
197489,0,10,f,0,,80,5,,238,3,67,0,1959
197490,0,,f,0,,80,5,,238,3,65,0,1959
197491,0,,f,0,,80,5,,238,3,49,0,1959
197492,0,1,t,29,1,81,6,,241,3,59,2,1959
197493,0,1,t,24,2,81,6,,241,3,6,2,1959
197494,0,1,t,16,3,81,6,,241,3,34,1,1959
197495,0,4,t,3,4,81,6,,241,3,58,0,1959
197496,0,6,f,0,,81,6,,241,3,60,0,1959
197497,0,6,f,0,,81,6,,241,3,64,0,1959
197498,0,8,f,0,,81,6,,241,3,2,0,1959
197499,0,10,f,0,,81,6,,241,3,57,0,1959
197500,0,10,f,0,,81,6,,241,3,67,0,1959
197501,0,,f,0,,81,6,,241,3,65,0,1959
197502,0,,f,0,,81,6,,241,3,49,0,1959
197503,0,1,t,34,1,82,7,,244,3,59,3,1959
197504,0,1,t,28,2,82,7,,244,3,6,2,1959
197505,0,1,t,18,3,82,7,,244,3,34,1,1959
197506,0,4,t,3,4,82,7,,244,3,58,0,1959
197507,0,6,f,0,,82,7,,244,3,60,0,1959
197508,0,6,f,0,,82,7,,244,3,64,0,1959
197509,0,8,f,0,,82,7,,244,3,2,0,1959
197510,0,10,f,0,,82,7,,244,3,57,0,1959
197511,0,10,f,0,,82,7,,244,3,67,0,1959
197512,0,,f,0,,82,7,,244,3,65,0,1959
197513,0,,f,0,,82,7,,244,3,49,0,1959
197514,0,1,t,38,1,83,8,,247,3,59,4,1959
197515,0,1,t,32,2,83,8,,247,3,6,2,1959
197516,0,1,t,18,3,83,8,,247,3,34,1,1959
197517,0,4,t,3,4,83,8,,247,3,58,0,1959
197518,0,6,f,0,,83,8,,247,3,60,0,1959
197519,0,6,f,0,,83,8,,247,3,64,0,1959
197520,0,8,f,0,,83,8,,247,3,2,0,1959
197521,0,10,f,0,,83,8,,247,3,57,0,1959
197522,0,10,f,0,,83,8,,247,3,67,0,1959
197523,0,,f,0,,83,8,,247,3,65,0,1959
197524,0,,f,0,,83,8,,247,3,49,0,1959
197525,0,1,t,40,1,84,9,10,250,3,59,5,1959
197526,0,1,t,32,2,84,9,10,250,3,6,2,1959
197527,0,1,t,18,3,84,9,10,250,3,34,1,1959
197528,0,4,t,5,4,84,9,10,250,3,58,0,1959
197529,0,6,f,0,,84,9,10,250,3,60,0,1959
197530,0,6,f,0,,84,9,10,250,3,64,0,1959
197531,0,7,f,0,,84,9,10,250,3,57,0,1959
197532,0,8,f,0,,84,9,10,250,3,2,0,1959
197533,0,10,f,0,,84,9,10,250,3,67,0,1959
197534,0,,f,0,,84,9,10,250,3,10,0,1959
197535,0,,f,0,,84,9,10,250,3,69,0,1959
197536,0,,f,0,,84,9,10,250,3,68,0,1959
197537,0,,f,0,,84,9,10,250,3,40,0,1959
197538,0,,f,0,,84,9,10,250,3,65,0,1959
197539,0,,f,0,,84,9,10,250,3,49,0,1959
197540,0,1,t,8,1,85,1,,253,3,59,1,1960
197541,0,2,t,6,2,85,1,,253,3,6,0,1960
197542,0,4,t,3,3,85,1,,253,3,60,0,1960
197543,0,6,t,1,4,85,1,,253,3,58,0,1960
197544,0,7,f,0,,85,1,,253,3,34,0,1960
197545,0,12,f,0,,85,1,,253,3,70,0,1960
197546,0,13,f,0,,85,1,,253,3,2,0,1960
197547,0,1,t,14,1,86,2,,256,3,59,1,1960
